"site","block","nitrogen","biomass","yield","height","lodged","ph","p_ppm","est_cec","per_N","per_C","cn_ratio","microbial_biomass","actinomycete_guild_absolute","amf_guild_absolute","saprotroph_guild_absolute","gram_neg_guild_absolute","gram_pos_guild_absolute","gram_pos_neg_ratio_absolute","fungi_absolute","bacteria_absolute","fb_ratio_absolute","div_rich","div_rar","div_shan","div_simp","ASV_1","ASV_2","ASV_4","ASV_5","ASV_6","ASV_7","ASV_8","ASV_9","ASV_10","ASV_11","ASV_12","ASV_13","ASV_14","ASV_15","ASV_16","ASV_17","ASV_18","ASV_19","ASV_20","ASV_21","ASV_22","ASV_23","ASV_24","ASV_25","ASV_26","ASV_27","ASV_28","ASV_29","ASV_30","ASV_31","ASV_32","ASV_33","ASV_34","ASV_36","ASV_37","ASV_38","ASV_39","ASV_40","ASV_41","ASV_42","ASV_43","ASV_44","ASV_45","ASV_46","ASV_47","ASV_48","ASV_49","ASV_50","ASV_52","ASV_53","ASV_54","ASV_55","ASV_56","ASV_57","ASV_58","ASV_59","ASV_60","ASV_61","ASV_62","ASV_63","ASV_64","ASV_65","ASV_66","ASV_67","ASV_68","ASV_69","ASV_70","ASV_71","ASV_72","ASV_73","ASV_74","ASV_75","ASV_76","ASV_78","ASV_79","ASV_80","ASV_81","ASV_82","ASV_83","ASV_84","ASV_85","ASV_86","ASV_87","ASV_88","ASV_89","ASV_90","ASV_91","ASV_92","ASV_93","ASV_94","ASV_95","ASV_96","ASV_97","ASV_98","ASV_99","ASV_100","ASV_101","ASV_102","ASV_103","ASV_104","ASV_105","ASV_106","ASV_107","ASV_108","ASV_109","ASV_110","ASV_111","ASV_112","ASV_113","ASV_114","ASV_115","ASV_116","ASV_117","ASV_118","ASV_119","ASV_120","ASV_121","ASV_122","ASV_123","ASV_124","ASV_126","ASV_127","ASV_129","ASV_130","ASV_131","ASV_132","ASV_133","ASV_134","ASV_135","ASV_136","ASV_137","ASV_138","ASV_141","ASV_142","ASV_143","ASV_144","ASV_145","ASV_146","ASV_147","ASV_148","ASV_149","ASV_150","ASV_151","ASV_152","ASV_153","ASV_154","ASV_155","ASV_157","ASV_159","ASV_160","ASV_161","ASV_162","ASV_163","ASV_164","ASV_165","ASV_166","ASV_167","ASV_168","ASV_169","ASV_170","ASV_171","ASV_172","ASV_174","ASV_175","ASV_176","ASV_177","ASV_178","ASV_179","ASV_180","ASV_182","ASV_183","ASV_184","ASV_185","ASV_186","ASV_187","ASV_188","ASV_189","ASV_190","ASV_191","ASV_192","ASV_193","ASV_194","ASV_195","ASV_196","ASV_197","ASV_199","ASV_200","ASV_201","ASV_202","ASV_203","ASV_204","ASV_205","ASV_206","ASV_207","ASV_208","ASV_209","ASV_210","ASV_211","ASV_212","ASV_213","ASV_214","ASV_215","ASV_216","ASV_217","ASV_218","ASV_219","ASV_220","ASV_221","ASV_223","ASV_224","ASV_225","ASV_226","ASV_227","ASV_228","ASV_229","ASV_230","ASV_231","ASV_232","ASV_233","ASV_234","ASV_235","ASV_236","ASV_237","ASV_238","ASV_239","ASV_240","ASV_241","ASV_242","ASV_244","ASV_245","ASV_246","ASV_247","ASV_248","ASV_249","ASV_250","ASV_251","ASV_252","ASV_253","ASV_254","ASV_255","ASV_256","ASV_257","ASV_259","ASV_260","ASV_261","ASV_262","ASV_263","ASV_264","ASV_265","ASV_266","ASV_267","ASV_269","ASV_270","ASV_271","ASV_272","ASV_273","ASV_274","ASV_275","ASV_276","ASV_277","ASV_278","ASV_279","ASV_280","ASV_282","ASV_283","ASV_284","ASV_285","ASV_286","ASV_288","ASV_289","ASV_290","ASV_291","ASV_292","ASV_293","ASV_294","ASV_295","ASV_296","ASV_297","ASV_298","ASV_300","ASV_301","ASV_302","ASV_303","ASV_305","ASV_306","ASV_307","ASV_308","ASV_309","ASV_310","ASV_311","ASV_312","ASV_313","ASV_314","ASV_315","ASV_316","ASV_317","ASV_318","ASV_319","ASV_320","ASV_321","ASV_322","ASV_324","ASV_325","ASV_326","ASV_327","ASV_329","ASV_330","ASV_331","ASV_333","ASV_335","ASV_337","ASV_338","ASV_339","ASV_340","ASV_341","ASV_342","ASV_343","ASV_345","ASV_346","ASV_347","ASV_349","ASV_350","ASV_351","ASV_352","ASV_353","ASV_354","ASV_355","ASV_356","ASV_357","ASV_358","ASV_359","ASV_360","ASV_361","ASV_362","ASV_363","ASV_364","ASV_365","ASV_366","ASV_367","ASV_368","ASV_369","ASV_370","ASV_371","ASV_373","ASV_374","ASV_375","ASV_376","ASV_377","ASV_378","ASV_379","ASV_381","ASV_382","ASV_383","ASV_384","ASV_385","ASV_386","ASV_388","ASV_389","ASV_392","ASV_393","ASV_394","ASV_396","ASV_397","ASV_398","ASV_400","ASV_401","ASV_402","ASV_403","ASV_404","ASV_405","ASV_406","ASV_407","ASV_408","ASV_410","ASV_411","ASV_412","ASV_415","ASV_416","ASV_417","ASV_418","ASV_420","ASV_423","ASV_425","ASV_426"
"Oregon","R3","amended",2290.13,9.049757,134.911764705882,0.588235294117647,5.8,21,15.2976,0.214666666666667,1.959,9.12577639751553,284.12665,14.38535,39.59345,39.689,47.88875,40.0984,0.83805,79.28245,86.05745,0.91735,34,33.8599436087964,3.06500427851383,0.935138371725263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,272,0,0,0,0,99,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,325,132,0,0,0,0,284,0,0,279,0,0,277,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,174,174,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,23,0,0,0,0,0,0,0,117,0,0,113,0,0,0,0,0,0,101,0,0,0,0,0,90,0,0,0,0,0,0,0,84,0,0,81,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oregon","R3","control",1753.43,11.005341,142.447368421053,0.394736842105263,5.8,24,16.6064,0.243,1.876,7.7201646090535,343.31665,13.04315,71.3597,36.75965,60.7579,36.36585,0.5974,108.11935,95.53075,1.1246,32,31.4758632823083,2.61588471010328,0.893956798261876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,923,0,0,0,0,236,0,0,0,535,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,310,0,0,0,0,370,0,185,0,0,0,0,0,0,126,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,2,0
"Oregon","R4","amended",2206.3,11.407762,134.425,0.45,5.9,14,13.0141,0.297333333333333,1.783,5.99663677130045,342.9325,12.40395,78.4346,58.43565,50.81345,32.7129,0.64155,136.87025,81.76505,1.6891,41,39.9537943417259,2.92984880786377,0.914355189992107,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,1258,0,56,0,0,0,0,328,0,0,0,0,239,0,0,77,57,0,0,0,163,0,0,0,0,0,0,0,0,0,223,608,0,0,312,0,0,325,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,128,0,0,0,117,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,77,0,0,0,0,0,0,0,0,0,0,0,65,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,41,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Oregon","R4","control",1448.73,10.626684,151.55,0.375,6.2,15,11.4688,0.301666666666667,1.61333333333333,5.34806629834254,430.1627,14.4232,117.7159,60.65385,68.7243,33.11195,0.4818,178.36975,98.9536,1.80255,19,19,2.48928863953075,0.893651109974435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,93,0,0,0,0,251,0,0,0,0,0,0,0,0,219,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,114,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,68,0,0,0,0,0,0,1,0,0,0,60,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhinelander","R1","amended",674.679,3.319372,157.484848484848,0,6.05,323,6.824295,0.112666666666667,1.34333333333333,11.9230769230769,279.2726,3.73825,104.14045,16.23405,36.3306,14.8999,0.4145,120.3745,50.1805,2.44005,22,21.8406180936064,2.64316387960675,0.913527386691364,6,0,247,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,498,0,650,0,0,0,0,0,0,881,189,0,0,0,0,353,0,0,352,392,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,277,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,29,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhinelander","R1","control",444.6185,1.634805,133.157894736842,0,5.9,328,6.25923,0.109666666666667,1.327,12.1003039513678,251.720633333333,3.59326666666667,92.7046,17.7682,29.4068666666667,13.1473,0.445766666666667,110.4728,41.6244333333333,2.63523333333333,31,30.7584961636743,2.71069625278085,0.902947891601625,0,0,51,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,0,407,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,362,75,0,0,0,0,0,2,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,123,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,59,0,0,0,0,34,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,98,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,37,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0
"Rhinelander","R2","amended",1430.51,4.263003,144.58064516129,0.548387096774194,5.15,275,9.429595,0.131333333333333,1.57433333333333,11.9873096446701,304.3132,6.26335,79.7838,20.81615,44.15585,18.9985,0.4305,100.59995,62.25265,1.61725,3,3,0.60010463831052,0.318700788170413,0,0,0,0,0,0,0,0,0,1647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhinelander","R2","control",831.1655,3.165049,179.842105263158,0,5.1,297,11.0386,0.133333333333333,1.59133333333333,11.935,299.636066666667,5.60346666666667,71.1071,19.0254666666667,60.3643333333333,15.5724333333333,0.263366666666667,90.1325666666667,75.105,1.18803333333333,7,6.99976212442291,1.11599543577432,0.584674020003056,0,0,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhinelander","R3","amended",1429.95,4.416651,154.194444444444,0,5.3,219.5,9.17859,0.135,1.32566666666667,9.81975308641975,308.578966666667,6.48326666666667,80.1018,29.3520333333333,43.4948333333333,17.2258333333333,0.398933333333333,109.453833333333,59.8558333333333,1.81313333333333,10,9.50967685666148,1.31461511187951,0.673494858726863,2444,0,14,0,0,0,0,0,0,0,3,0,0,1320,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhinelander","R3","control",654.2925,2.164329,144.55,0,5.4,237,8.59038,0.0886666666666667,1.14833333333333,12.9511278195489,278.47635,5.15655,67.29395,23.1711,54.4418,13.24395,0.2488,90.46505,66.9284,1.37015,11,10.9741096896949,1.89251814751902,0.81381335492914,0,0,635,0,0,0,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,767,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhinelander","R4","amended",1693.785,3.797054,161.290322580645,0.290322580645161,5.4,282.5,9.82519,0.125666666666667,1.13066666666667,8.9973474801061,300.5853,6.4389,70.35865,27.59695,49.0024,18.7619,0.3853,97.9556,66.7497,1.4558,10,9.8362785161514,1.51577158856554,0.709952205780738,0,0,974,0,1957,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Rhinelander","R4","control",621.964,1.943008,169.525,0,5.3,282,10.7827,0.118,1.364,11.5593220338983,299.8173,5.75245,63.453,26.501,51.04505,17.20545,0.3375,89.954,67.40855,1.33505,13,12.9999488961225,1.81079476617563,0.728716159732582,1596,0,137,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
