# Species transect plant heights
#
# Original Data Source: https://data.sustainability.glbrc.org/datatables/592
# The newest version of the data https://data.sustainability.glbrc.org/datatables/592.csv
# Full EML Metadata: https://data.sustainability.glbrc.org/datasets/178.eml
#
# These Data are copyrighted and use in a publication requires permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# sample_date		sample date
# site		experimental site
# plot		Plot sampled
# subplot		N+ or N- subplot
# line		transect line sampled
# species		species measured
# height	centimeter	height to the top of the plant canopy
# has_lodged		had the plant that was measured lodged?
# comments		comments about the observation
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
sample_date,site,plot,subplot,line,species,height,has_lodged,comments
#,,,,,,centimeter,,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,204,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,132,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,180,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,195,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,203,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,210,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,215,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,203,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,193,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,196,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,190,f,
2018-09-06,Escanaba,G5-R4,N-,4,Panicum virgatum L.,183,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,190,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,190,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,204,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,190,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,174,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,172,f,
2018-09-06,Escanaba,G8-R4,N-,3,Taraxacum officinale Weber in,2,f,Row 5-6 -- 
2018-09-06,Escanaba,G8-R4,N-,3,Taraxacum officinale Weber in,11,f,Row 5-6 -- 
2018-09-06,Escanaba,G5-R1,N+,1,Panicum virgatum L.,112,t,disturbed
2018-08-27,Lux Arbor,G10-R1,N+,2,Andropogon gerardii,195,f,
2018-08-27,Lux Arbor,G10-R1,N+,2,Achillea millefolium L.,87,f,
2018-09-07,Escanaba,G8-R3,N+,1,Phleum pratense L.,4,t,Row 5-6
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,191,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,201,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,225,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,143,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,199,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,176,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,185,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,185,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,150,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,180,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,160,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,163,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,177,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,171,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,194,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,148,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,195,f,
2018-08-27,Lux Arbor,G5-R1,N-,4,Panicum virgatum L.,167,f,
2018-08-27,Lux Arbor,G5-R1,N-,3,Panicum virgatum L.,163,f,
2018-08-27,Lux Arbor,G10-R1,N-,3,Andropogon gerardii,245,f,
2018-08-27,Lux Arbor,G10-R1,N-,3,Lespedeza capitata,84,f,
2018-08-27,Lux Arbor,G10-R1,N-,3,Andropogon gerardii,193,f,
2018-08-27,Lux Arbor,G10-R1,N-,4,Solidago rigida L.,73,f,
2018-08-29,Lake City,G5-R4,N-,4,Panicum virgatum L.,184,f,
2018-09-05,Hancock,G10-R4,N-,1,Andropogon gerardii,100,f,
2018-09-06,Rhinelander,G8-R2,N-,2,Surface Litter,0,f,Row 3-4 -- 
2018-09-06,Rhinelander,G8-R2,N-,3,Potentilla sp.,40,f,Row 5-6 -- 
2018-09-07,Escanaba,G8-R3,N-,3,Dactylis glomerata L.,17,f,Row 2-3 -- 
2018-09-07,Escanaba,G8-R3,N-,3,Dactylis glomerata L.,23,f,Row 2-3 -- 
2018-09-07,Escanaba,G8-R3,N-,3,Taraxacum officinale Weber in,6,f,Row 2-3 -- 
2018-09-07,Escanaba,G8-R3,N-,3,Elymus repens (L.) Gould,46,f,Row 2-3 -- 
2018-09-07,Escanaba,G8-R3,N-,4,Bare ground/no plant found,0,f,Row 3-4 -- 
2018-09-07,Escanaba,G8-R3,N-,4,Poa pratensis L.,31,f,Row 3-4 -- 
2018-09-07,Escanaba,G8-R3,N-,4,Taraxacum officinale Weber in,10,f,Row 3-4 -- 
2018-09-07,Escanaba,G6-R2,N-,4,Miscanthus x giganteus,231,f,
2018-09-06,Escanaba,G5-R4,N-,3,Panicum virgatum L.,194,f,
2018-09-06,Escanaba,G5-R4,N-,4,Panicum virgatum L.,243,f,
2018-09-06,Escanaba,G5-R4,N-,4,Panicum virgatum L.,190,f,
2018-09-06,Escanaba,G5-R4,N-,4,Panicum virgatum L.,198,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,203,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,180,f,
2018-08-27,Lux Arbor,G5-R2,N-,3,Panicum virgatum L.,134,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,179,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,98,t,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,180,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,195,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,161,t,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,128,t,
2018-08-27,Lux Arbor,G10-R1,N+,2,Euthamia graminifolia (L.) Nutt.,76,f,
2018-08-27,Lux Arbor,G10-R1,N+,2,Desmodium canadense,142,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,137,t,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,194,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,221,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,213,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,195,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,210,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,197,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,209,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,204,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,167,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,152,t,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,208,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,218,f,
2018-08-27,Lux Arbor,G5-R2,N-,4,Panicum virgatum L.,227,f,
2018-08-27,Lux Arbor,G5-R2,N-,3,Panicum virgatum L.,207,f,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,104,t,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,185,f,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,170,f,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,140,f,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,170,f,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,93,t,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,144,f,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,95,t,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,156,f,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,121,t,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,98,t,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,110,t,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,71,t,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,158,f,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,56,t,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,68,t,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,183,f,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,134,t,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,88,t,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,101,t,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,61,t,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,195,f,
2018-08-27,Lux Arbor,G10-R1,N-,3,Lespedeza capitata,138,f,
2018-09-05,Rhinelander,G9-R3,N-,4,Solidago canadensis L.,101,f,
2018-09-05,Rhinelander,G11-R3,N-,1,Surface Litter,0,f,
2018-09-07,Escanaba,G8-R3,N-,3,Rudbeckia hirta L.,13,f,Row 2-3 -- 
2018-09-07,Escanaba,G8-R3,N-,4,Elymus repens (L.) Gould,11,f,Row 3-4 -- 
2018-09-07,Escanaba,G8-R3,N-,4,Dactylis glomerata L.,20,f,Row 3-4 -- 
2018-09-07,Escanaba,G6-R2,N-,4,Surface Litter,0,f,
2018-09-06,Escanaba,G5-R4,N-,4,Panicum virgatum L.,198,f,
2018-09-07,Escanaba,G5-R3,N-,3,Panicum virgatum L.,215,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,198,f,
2018-09-07,Escanaba,G5-R3,N-,4,Panicum virgatum L.,167,f,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,192,f,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,158,f,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,77,t,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,127,f,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,97,t,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,162,f,
2018-08-27,Lux Arbor,G5-R3,N-,1,Panicum virgatum L.,66,t,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,89,t,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,173,f,
2018-08-27,Lux Arbor,G10-R1,N+,2,Aster pilosus Willd.,73,f,
2018-08-27,Lux Arbor,G10-R1,N+,2,Daucus carota L.,131,f,
2018-08-27,Lux Arbor,G10-R1,N+,2,Sorghastrum nutans (L.) Nash ex Small,198,f,
2018-08-27,Lux Arbor,G5-R3,N-,2,Panicum virgatum L.,97,t,
2018-08-27,Lux Arbor,G10-R1,N-,4,Andropogon gerardii,156,f,
2018-08-27,Lux Arbor,G10-R1,N-,4,Andropogon gerardii,241,f,
2018-08-27,Lux Arbor,G10-R1,N-,4,Daucus carota L.,78,f,
